,Unnamed: 0,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,seed_data,seed_models
0,0,DA,0.3917415427723806,0.8870836718115354,22.408119678497314,0.0571593849768908,-0.0272164772663786,0.0113811786453966,0.0071326503040774,6,0
1,1,Dragonnet,0.3994672243628617,0.8485039016060445,104.73946046829224,0.0487536676228046,-0.0403930731117725,0.0052859736606478,-0.0082829678431153,6,0
2,2,CEVAE,0.3095175262918662,0.8576434617998956,102.11686539649963,0.2016126960515976,0.0445161499083042,-0.1031142100691795,0.0053473892621695,6,0
3,3,M3E2,0.1833678995113853,0.8028673835125448,34.66891145706177,1.230576992034912,0.5775153040885925,-0.2261018455028534,0.2919380068778991,6,0
4,4,TrueTreat,0.0,0.0,0.0,1.0275229357798166,0.2568807339449541,-0.2055045871559633,0.1027522935779816,6,0
5,5,DA,0.3931721558172601,0.8884364820846905,6.009433507919312,0.0717237990131564,-0.0274940064719074,0.0279542987983158,0.0036964334467423,6,1
6,6,Dragonnet,0.4113945314805921,0.8503267681535331,91.678382396698,-0.0141795231029391,-0.031905323266983,0.019762136042118,0.0129294069483876,6,1
7,7,CEVAE,0.3716106173727627,0.8550829011789196,102.4531388282776,0.1906208246946334,-0.2022724449634552,-0.0389695353806018,0.0789001658558845,6,1
8,8,M3E2,0.1792387273265134,0.8074534161490682,34.46445965766907,1.0512570142745972,0.6329776048660278,-0.0793004482984542,0.293672114610672,6,1
9,9,TrueTreat,0.0,0.0,0.0,1.0275229357798166,0.2568807339449541,-0.2055045871559633,0.1027522935779816,6,1
10,10,DA,0.3790195421653728,0.8835474513054289,5.604506254196167,0.0730612910530866,-0.0139188827626453,0.0063294682377521,0.0237694417445351,6,2
11,11,Dragonnet,0.4002065575826879,0.8431547502483455,76.37263655662537,0.0293470155447721,-0.0277810022234916,0.0056340787559747,-0.0040976144373416,6,2
12,12,CEVAE,0.3308690295001458,0.853686876075892,102.8118224143982,0.1652388125658035,0.0061533483676612,-0.0331972204148769,0.0645950511097908,6,2
13,13,M3E2,0.1051208097590218,0.810727969348659,34.398521423339844,1.0831843614578247,0.3965627253055572,-0.137168675661087,0.2595562040805816,6,2
14,14,TrueTreat,0.0,0.0,0.0,1.0275229357798166,0.2568807339449541,-0.2055045871559633,0.1027522935779816,6,2
15,15,DA,0.3809139882208066,0.8899676375404532,5.498069524765015,0.0531823110699052,-0.0053556192236698,-0.0029830621178409,0.0181948436114127,6,3
16,16,Dragonnet,0.3930791665828753,0.8664401834381262,99.58593010902403,0.0431692712008953,-0.0267915986478328,0.0022087672259658,0.0061749788001179,6,3
17,17,CEVAE,0.3650272170692648,0.8607619481580936,104.0863242149353,0.027470413595438,0.0131245935335755,-0.0466133803129196,0.0453432947397232,6,3
18,18,M3E2,0.1777520049465905,0.7982697601258356,34.24614500999451,1.1769981384277344,0.5050603747367859,-0.1695124208927154,0.3801133036613464,6,3
19,19,TrueTreat,0.0,0.0,0.0,1.0275229357798166,0.2568807339449541,-0.2055045871559633,0.1027522935779816,6,3
20,20,DA,0.3935033436374491,0.9023704298915228,5.860547304153442,0.0673866363256952,-0.0317992207303052,0.0169275019208081,-1.2737765662612797e-05,6,4
21,21,Dragonnet,0.4144137172173674,0.8577364110899403,93.47579622268675,-0.010987676680088,-0.0278613716363906,0.0215470790863037,-0.0045981910079717,6,4
22,22,CEVAE,0.3401422806695069,0.8591758313853466,102.76221466064452,0.1184199005365371,0.0589072778820991,-0.012249712832272,0.0425145365297794,6,4
23,23,M3E2,0.2037708439343019,0.8138091543832429,34.531288862228394,0.922149419784546,0.5535731911659241,-0.144649788737297,0.4549148976802826,6,4
24,24,TrueTreat,0.0,0.0,0.0,1.0275229357798166,0.2568807339449541,-0.2055045871559633,0.1027522935779816,6,4
